project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,,,
https://github.com/evennia/evennia,FALSE,TRUE,74,4999,826,393,https://api.github.com/users/Griatch,TRUE,,,
https://github.com/kendryte/kendryte-tensorflow,FALSE,TRUE,375,38381,17,0,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow for Kendrit,,
https://github.com/facebookresearch/DensePose,FALSE,TRUE,20,130,4261,711,https://api.github.com/users/vkhalidov,TRUE,,,
https://github.com/selwin/python-user-agents,FALSE,TRUE,15,116,850,147,https://api.github.com/users/selwin,TRUE,,,
https://github.com/winteram/BIA660-2013S,FALSE,TRUE,27,332,4,21,https://api.github.com/users/winteram,TRUE,Repository for a course,,
https://github.com/dart-lang/dart-pad,FALSE,TRUE,14,1205,157,45,https://api.github.com/users/devoncarew,TRUE,,,
https://github.com/vortex-exoplanet/VIP,FALSE,TRUE,10,936,33,22,https://api.github.com/users/carlgogo,TRUE,,,
https://github.com/onnx/tensorflow-onnx,FALSE,TRUE,15,611,137,47,https://api.github.com/users/guschmue,TRUE,,,
https://github.com/jantic/DeOldify,FALSE,TRUE,10,114,5181,360,https://api.github.com/users/jantic,TRUE,,,
https://github.com/holgern/beem,FALSE,TRUE,18,1262,64,26,https://api.github.com/users/holgern,TRUE,,,
https://github.com/cmusatyalab/faceswap,FALSE,TRUE,6,179,22,8,https://api.github.com/users/junjuew,TRUE,,,
https://github.com/tensorpack/tensorpack,FALSE,TRUE,39,2558,3684,1133,https://api.github.com/users/ppwwyyxx,TRUE,,,
https://github.com/JianGoForIt/YellowFin_Pytorch,FALSE,TRUE,5,192,278,34,https://api.github.com/users/JianGoForIt,TRUE,,,
https://github.com/horovod/horovod,FALSE,TRUE,35,227,5382,745,https://api.github.com/users/alsrgv,TRUE,,,
https://github.com/ubc/compair,FALSE,TRUE,11,1744,13,6,https://api.github.com/users/andrew-gardener,TRUE,,,
https://github.com/prymatex/prymatex,FALSE,TRUE,6,4070,10,5,https://api.github.com/users/diegomvh,TRUE,,,
https://github.com/castorini/Castor,FALSE,TRUE,13,133,127,46,https://api.github.com/users/tuzhucheng,TRUE,,,
https://github.com/dmlc/dgl,FALSE,TRUE,23,384,1461,153,https://api.github.com/users/jermainewang,TRUE,,,
