project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/rdevon/cortex,FALSE,TRUE,16,706,41,10,https://api.github.com/users/rdevon,TRUE
https://github.com/ray-project/ray,FALSE,TRUE,130,2535,5828,801,https://api.github.com/users/robertnishihara,TRUE
https://github.com/RallyTools/RallyRestToolkitForPython,FALSE,TRUE,8,153,69,56,https://api.github.com/users/klehman-rally,TRUE
https://github.com/r9y9/wavenet_vocoder,FALSE,TRUE,9,190,836,217,https://api.github.com/users/r9y9,TRUE
https://github.com/r9y9/deepvoice3_pytorch,FALSE,TRUE,9,188,866,180,https://api.github.com/users/r9y9,TRUE
https://github.com/pytorch/xla,FALSE,TRUE,6,594,142,10,https://api.github.com/users/dlibenzi,TRUE
https://github.com/pytorch/vision,FALSE,TRUE,128,404,2739,1323,https://api.github.com/users/soumith,TRUE
https://github.com/pytorch/translate,FALSE,TRUE,35,369,418,81,https://api.github.com/users/jhcross,TRUE
https://github.com/pytorch/ignite,FALSE,TRUE,28,246,1405,139,https://api.github.com/users/vfdev-5,TRUE
https://github.com/pytorch/fairseq,FALSE,TRUE,44,497,3048,648,https://api.github.com/users/myleott,TRUE
https://github.com/PySimpleGUI/PySimpleGUI,FALSE,TRUE,10,1890,1161,139,https://api.github.com/users/MikeTheWatchGuy,TRUE
https://github.com/pyro-ppl/pyro,FALSE,TRUE,51,1524,5029,537,https://api.github.com/users/fritzo,TRUE
https://github.com/pykaldi/pykaldi,FALSE,TRUE,5,639,277,67,https://api.github.com/users/dogancan,TRUE
https://github.com/pyjs/pyjs,FALSE,TRUE,37,980,928,196,https://api.github.com/users/keesbos,TRUE
https://github.com/pyannote/pyannote-audio,FALSE,TRUE,6,1279,332,68,https://api.github.com/users/hbredin,TRUE
https://github.com/pupil-labs/pupil,FALSE,TRUE,27,4975,677,456,https://api.github.com/users/mkassner,TRUE
https://github.com/ptillet/isaac,FALSE,TRUE,8,685,98,34,https://api.github.com/users/ptillet,TRUE
https://github.com/prymatex/prymatex,FALSE,TRUE,6,4070,10,5,https://api.github.com/users/diegomvh,TRUE
https://github.com/progradeep/gan-pytorch,FALSE,TRUE,5,194,14,0,https://api.github.com/users/JaeyunKang,TRUE
https://github.com/probtorch/probtorch,FALSE,TRUE,7,175,566,49,https://api.github.com/users/jwvdm,TRUE
https://github.com/probprog/pyprob,FALSE,TRUE,7,1060,208,24,https://api.github.com/users/gbaydin,TRUE
https://github.com/princewang1994/RFCN_CoupleNet.pytorch,FALSE,TRUE,15,405,13,2,https://api.github.com/users/jwyang,TRUE
https://github.com/PrincetonUniversity/PsyNeuLink,FALSE,TRUE,16,6612,25,7,https://api.github.com/users/jdcpni,TRUE
https://github.com/PIQuIL/QuCumber,FALSE,TRUE,9,807,87,7,https://api.github.com/users/emerali,TRUE
https://github.com/Pinafore/qb,FALSE,TRUE,12,1447,141,40,https://api.github.com/users/EntilZha,TRUE
https://github.com/PetrochukM/PyTorch-NLP,FALSE,TRUE,6,297,1196,138,https://api.github.com/users/PetrochukM,TRUE
https://github.com/PaddlePaddle/VisualDL,FALSE,TRUE,15,519,2094,317,https://api.github.com/users/Superjomn,TRUE
https://github.com/overviewer/Minecraft-Overviewer,FALSE,TRUE,108,2255,1868,327,https://api.github.com/users/eminence,TRUE
https://github.com/orphu/mcdungeon,FALSE,TRUE,8,1818,71,17,https://api.github.com/users/orphu,TRUE
https://github.com/OpenNMT/OpenNMT-py,FALSE,TRUE,118,2202,2586,1020,https://api.github.com/users/srush,TRUE
https://github.com/OpenMined/PySyft,FALSE,TRUE,143,3311,2663,618,https://api.github.com/users/iamtrask,TRUE
https://github.com/OpenMined/CampX,FALSE,TRUE,5,137,36,4,https://api.github.com/users/korymath,TRUE
https://github.com/opencv/opencv,FALSE,TRUE,305,14597,31970,22903,https://api.github.com/users/alalek,TRUE
https://github.com/open-mmlab/mmcv,FALSE,TRUE,13,129,630,109,https://api.github.com/users/hellock,TRUE
