project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,relevant_issues,relevant_commits
https://github.com/daavoo/pyntcloud,FALSE,TRUE,15,831,421,90,https://api.github.com/users/daavoo,TRUE,16,7
https://github.com/blue-oil/blueoil,FALSE,TRUE,19,490,157,41,https://api.github.com/users/lm-konda,TRUE,15,17
https://github.com/nerox8664/pytorch2keras,FALSE,TRUE,6,233,273,38,https://api.github.com/users/nerox8664,TRUE,15,18
https://github.com/rdevon/cortex,FALSE,TRUE,16,706,41,10,https://api.github.com/users/rdevon,TRUE,15,33
https://github.com/kaldi-asr/kaldi,FALSE,TRUE,233,8103,5275,2634,https://api.github.com/users/danpovey,TRUE,13,1003
https://github.com/allenai/allennlp,FALSE,TRUE,96,1313,5377,1012,https://api.github.com/users/schmmd,TRUE,12,30
https://github.com/ilastik/lazyflow,FALSE,TRUE,25,3231,66,52,https://api.github.com/users/stuarteberg,TRUE,12,200
https://github.com/HazyResearch/metal,FALSE,TRUE,13,815,87,21,https://api.github.com/users/bhancock8,TRUE,11,76
https://github.com/Kaggle/docker-python,FALSE,TRUE,91,966,874,458,https://api.github.com/users/nerdcha,TRUE,11,4
https://github.com/IBM/mi-prometheus,FALSE,TRUE,9,1678,18,10,https://api.github.com/users/tkornut,TRUE,11,86
https://github.com/pytorch/ignite,FALSE,TRUE,28,246,1405,139,https://api.github.com/users/vfdev-5,TRUE,10,9
https://github.com/interactiveaudiolab/nussl,FALSE,TRUE,8,306,160,32,https://api.github.com/users/ethman,TRUE,10,31
https://github.com/zhuowei/RaspberryJuice,FALSE,TRUE,5,104,131,65,https://api.github.com/users/martinohanlon,TRUE,10,5
https://github.com/uclmr/jack,FALSE,TRUE,19,1683,169,37,https://api.github.com/users/dirkweissenborn,TRUE,9,152
https://github.com/PIQuIL/QuCumber,FALSE,TRUE,9,807,87,7,https://api.github.com/users/emerali,TRUE,9,47
https://github.com/arraiyopensource/torchgeometry,FALSE,TRUE,7,318,528,31,https://api.github.com/users/edgarriba,TRUE,8,23
https://github.com/pytorch/vision,FALSE,TRUE,128,404,2739,1323,https://api.github.com/users/soumith,TRUE,8,18
https://github.com/dmlc/dgl,FALSE,TRUE,23,384,1461,153,https://api.github.com/users/jermainewang,TRUE,8,51
https://github.com/cmusatyalab/openface,FALSE,TRUE,26,731,11607,2795,https://api.github.com/users/bamos,TRUE,8,17
https://github.com/SmartDataAnalytics/horus-ner,FALSE,TRUE,8,211,40,4,https://api.github.com/users/diegoesteves,TRUE,8,6
https://github.com/Cadene/pretrained-models.pytorch,FALSE,TRUE,15,131,3438,720,https://api.github.com/users/Cadene,TRUE,8,6
https://github.com/mozilla-b2g/gecko-tablet,FALSE,TRUE,310,201550,6,10,https://api.github.com/users/rvandermeulen,TRUE,7,27552
https://github.com/facebookresearch/maskrcnn-benchmark,FALSE,TRUE,48,104,4111,799,https://api.github.com/users/fmassa,TRUE,7,12
https://github.com/dgasmith/opt_einsum,FALSE,TRUE,9,300,140,15,https://api.github.com/users/dgasmith,TRUE,7,8
https://github.com/vortex-exoplanet/VIP,FALSE,TRUE,10,936,33,22,https://api.github.com/users/carlgogo,TRUE,6,58
https://github.com/gau820827/AI-writer_Data2Doc,FALSE,TRUE,5,170,42,12,https://api.github.com/users/gau820827,TRUE,6,10
https://github.com/r9y9/wavenet_vocoder,FALSE,TRUE,9,190,836,217,https://api.github.com/users/r9y9,TRUE,6,9
https://github.com/Zhaoyi-Yan/Shift-Net_pytorch,FALSE,TRUE,5,112,91,23,https://api.github.com/users/Zhaoyi-Yan,TRUE,5,11
https://github.com/joschu/cgt,FALSE,TRUE,10,204,604,85,https://api.github.com/users/joschu,TRUE,5,11
https://github.com/facebookresearch/Detectron,FALSE,TRUE,23,118,19156,3994,https://api.github.com/users/ir413,TRUE,5,6
https://github.com/AI-metrics/AI-metrics,FALSE,TRUE,13,345,355,56,https://api.github.com/users/pde,TRUE,5,10
https://github.com/NervanaSystems/distiller,FALSE,TRUE,13,271,1386,243,https://api.github.com/users/nzmora,TRUE,5,45
https://github.com/cryoem/eman2,FALSE,TRUE,15,5567,50,31,https://api.github.com/users/shadowwalkersb,TRUE,5,1599
https://github.com/dmlc/gluon-cv,FALSE,TRUE,45,426,1898,394,https://api.github.com/users/zhreshold,TRUE,4,14
https://github.com/Hananel-Hazan/bindsnet,FALSE,TRUE,8,758,267,46,https://api.github.com/users/djsaunde,TRUE,4,92
https://github.com/libtcod/libtcod,FALSE,TRUE,21,845,63,9,https://api.github.com/users/HexDecimal,TRUE,4,36
https://github.com/inferno-pytorch/inferno,FALSE,TRUE,12,860,181,28,https://api.github.com/users/nasimrahaman,TRUE,4,56
https://github.com/SeanNaren/deepspeech.pytorch,FALSE,TRUE,23,351,826,272,https://api.github.com/users/SeanNaren,TRUE,4,14
https://github.com/HoloClean/HoloClean-Legacy-deprecated,FALSE,TRUE,12,549,73,20,https://api.github.com/users/ah89,TRUE,4,37
https://github.com/r9y9/deepvoice3_pytorch,FALSE,TRUE,9,188,866,180,https://api.github.com/users/r9y9,TRUE,4,11
https://github.com/onnx/onnx-coreml,FALSE,TRUE,12,526,165,33,https://api.github.com/users/onnxbot,TRUE,3,19
https://github.com/apaszke/pytorch-dist,FALSE,TRUE,207,3171,32,4,https://api.github.com/users/soumith,TRUE,3,175
https://github.com/ptillet/isaac,FALSE,TRUE,8,685,98,34,https://api.github.com/users/ptillet,TRUE,3,86
https://github.com/Pinafore/qb,FALSE,TRUE,12,1447,141,40,https://api.github.com/users/EntilZha,TRUE,3,100
https://github.com/RedisAI/RedisAI,FALSE,TRUE,6,182,60,8,https://api.github.com/users/lantiga,TRUE,3,3
https://github.com/facebookresearch/pytext,FALSE,TRUE,24,134,4592,438,https://api.github.com/users/snisarg,TRUE,3,4
https://github.com/prymatex/prymatex,FALSE,TRUE,6,4070,10,5,https://api.github.com/users/diegomvh,TRUE,3,237
https://github.com/numenta/htmresearch,FALSE,TRUE,28,4144,195,99,https://api.github.com/users/subutai,TRUE,2,101
https://github.com/johannbrehmer/madminer,FALSE,TRUE,6,1098,10,8,https://api.github.com/users/johannbrehmer,TRUE,2,118
https://github.com/appscode/guard,FALSE,TRUE,17,188,225,28,https://api.github.com/users/tamalsaha,TRUE,2,5
