project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,relevant_issues,relevant_commits
https://github.com/epam/DLab,FALSE,TRUE,19,4411,68,19,https://api.github.com/users/OlehMartushevskyi,TRUE,1,815
https://github.com/databricks/tensorframes,FALSE,TRUE,13,208,723,153,https://api.github.com/users/thunterdb,TRUE,1,3
https://github.com/HyperGAN/HyperGAN,FALSE,TRUE,9,2737,888,137,https://api.github.com/users/martyn,TRUE,1,64
https://github.com/NervanaSystems/ngraph-tf,FALSE,TRUE,26,616,44,11,https://api.github.com/users/avijit-nervana,TRUE,1,28
https://github.com/keras-team/keras-contrib,FALSE,TRUE,52,541,923,388,https://api.github.com/users/titu1994,TRUE,1,35
https://github.com/onnx/tensorflow-onnx,FALSE,TRUE,14,590,136,47,https://api.github.com/users/guschmue,TRUE,1,53
https://github.com/freesurfer/freesurfer,FALSE,TRUE,47,22321,87,97,https://api.github.com/users/dngreve,TRUE,0,1607
https://github.com/conda/conda,FALSE,TRUE,212,11383,2716,675,https://api.github.com/users/kalefranz,TRUE,0,500
https://github.com/Microsoft/ELL,FALSE,TRUE,15,3361,1943,268,https://api.github.com/users/cjacobs,TRUE,0,253
https://github.com/easybuilders/easybuild-easyblocks,FALSE,TRUE,74,6756,56,164,https://api.github.com/users/boegel,TRUE,0,216
https://github.com/intel-analytics/BigDL,FALSE,TRUE,54,2230,2781,665,https://api.github.com/users/yiheng,TRUE,0,210
https://github.com/tensorflow/tensorboard,FALSE,TRUE,141,2086,3135,760,https://api.github.com/users/jart,TRUE,0,151
https://github.com/analysiscenter/radio,FALSE,TRUE,10,1978,141,33,https://api.github.com/users/KirillEmelyanov,TRUE,0,115
https://github.com/rwth-i6/returnn,FALSE,TRUE,36,5991,156,74,https://api.github.com/users/albertz,TRUE,0,111
https://github.com/tensorforce/tensorforce,FALSE,TRUE,47,1624,2188,387,https://api.github.com/users/michaelschaarschmidt,TRUE,0,90
https://github.com/gheinrich/DIGITS-GAN,FALSE,TRUE,35,1482,92,34,https://api.github.com/users/lukeyeager,TRUE,0,80
https://github.com/cms-sw/cms-bot,FALSE,TRUE,119,7148,11,137,https://api.github.com/users/smuzaffar,TRUE,0,56
https://github.com/tensorflow/magenta,FALSE,TRUE,91,923,12251,2361,https://api.github.com/users/adarob,TRUE,0,56
https://github.com/dpressel/baseline,FALSE,TRUE,7,1118,198,48,https://api.github.com/users/dpressel,TRUE,0,51
https://github.com/wenwei202/iss-rnns,FALSE,TRUE,13,423,53,18,https://api.github.com/users/seominjoon,TRUE,0,47
