project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/Lab41/attalos,FALSE,TRUE,12,525,91,38,https://api.github.com/users/ymt123,TRUE
https://github.com/LIS/lis-test,FALSE,TRUE,38,3195,19,67,https://api.github.com/users/chvalean,TRUE
https://github.com/MarcBS/multimodal_keras_wrapper,FALSE,TRUE,6,982,17,19,https://api.github.com/users/lvapeab,TRUE
https://github.com/Microsoft/EdgeML,FALSE,TRUE,13,355,550,108,https://api.github.com/users/metastableB,TRUE
https://github.com/Microsoft/ELL,FALSE,TRUE,15,3361,1943,268,https://api.github.com/users/cjacobs,TRUE
https://github.com/Microsoft/MMdnn,FALSE,TRUE,54,950,3084,609,https://api.github.com/users/kitstar,TRUE
https://github.com/miha-skalic/youtube8mchallenge,FALSE,TRUE,17,230,85,29,https://api.github.com/users/miha-skalic,TRUE
https://github.com/mil-tokyo/webdnn,FALSE,TRUE,11,1238,1541,124,https://api.github.com/users/Kiikurage,TRUE
https://github.com/mindgarage/Ovation,FALSE,TRUE,5,223,8,17,https://api.github.com/users/jcbgamboa,TRUE
https://github.com/mlflow/mlflow,FALSE,TRUE,74,528,3149,537,https://api.github.com/users/smurching,TRUE
https://github.com/mortendahl/tf-encrypted,FALSE,TRUE,10,299,185,29,https://api.github.com/users/mortendahl,TRUE
https://github.com/mozilla/DeepSpeech,FALSE,TRUE,63,1193,9286,1640,https://api.github.com/users/reuben,TRUE
https://github.com/mstoye/DeepJet,FALSE,TRUE,8,378,3,21,https://api.github.com/users/jkiesele,TRUE
https://github.com/ncent/ncent.github.io,FALSE,TRUE,17,784,13,9,https://api.github.com/users/nucat176,TRUE
https://github.com/nengo/nengo-dl,FALSE,TRUE,6,521,21,5,https://api.github.com/users/drasmuss,TRUE
https://github.com/NervanaSystems/coach,FALSE,TRUE,22,389,1132,207,https://api.github.com/users/zach-nervana,TRUE
https://github.com/NervanaSystems/ngraph-python,FALSE,TRUE,67,4517,220,34,https://api.github.com/users/diyessi,TRUE
https://github.com/NervanaSystems/ngraph-tf,FALSE,TRUE,26,616,44,11,https://api.github.com/users/avijit-nervana,TRUE
https://github.com/NervanaSystems/nlp-architect,FALSE,TRUE,23,579,1779,260,https://api.github.com/users/peteriz,TRUE
https://github.com/NVIDIA/OpenSeq2Seq,FALSE,TRUE,26,1063,635,140,https://api.github.com/users/Kipok,TRUE
https://github.com/NVIDIA/tensorrt-inference-server,FALSE,TRUE,5,136,222,40,https://api.github.com/users/deadeyegoodwin,TRUE
https://github.com/odlgroup/odl,FALSE,TRUE,17,4860,99,52,https://api.github.com/users/adler-j,TRUE
https://github.com/onnx/onnx-tensorflow,FALSE,TRUE,15,290,329,83,https://api.github.com/users/tjingrant,TRUE
https://github.com/onnx/tensorflow-onnx,FALSE,TRUE,14,590,136,47,https://api.github.com/users/guschmue,TRUE
https://github.com/openvax/mhcflurry,FALSE,TRUE,9,851,50,17,https://api.github.com/users/timodonnell,TRUE
