project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,comment
https://github.com/kubeflow/pipelines,FALSE,TRUE,28,490,661,114,https://api.github.com/users/IronPan,TRUE,
https://github.com/agroce/tstl,FALSE,TRUE,5,1125,52,19,https://api.github.com/users/agroce,TRUE,
https://github.com/petewarden/tensorflow_makefile,FALSE,TRUE,225,3144,50,93,https://api.github.com/users/vrv,TRUE,Tensorflow Version (a strange one)
https://github.com/popcorncolonel/tensor_decomp_embedding,FALSE,TRUE,139,2461,20,8,https://api.github.com/users/piskvorky,TRUE,Code for a Paper
https://github.com/simonmeister/motion-rcnn,FALSE,TRUE,228,1120,42,15,https://api.github.com/users/nealwu,TRUE,
https://github.com/kendryte/kendryte-tensorflow,FALSE,TRUE,375,38381,17,0,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow Version
https://github.com/rwth-i6/returnn,FALSE,TRUE,36,5991,156,74,https://api.github.com/users/albertz,TRUE,
https://github.com/thu-ml/zhusuan,FALSE,TRUE,13,167,1527,303,https://api.github.com/users/thjashin,TRUE,
https://github.com/YuhangSong/DEHRL,FALSE,TRUE,13,514,11,1,https://api.github.com/users/YuhangSong,TRUE,Implementation for Paper
https://github.com/deepfakes/faceswap,FALSE,TRUE,48,358,11286,3677,https://api.github.com/users/torzdf,TRUE,Requires Login
https://github.com/rlgraph/rlgraph,FALSE,TRUE,5,3706,70,6,https://api.github.com/users/sven1977,TRUE,
https://github.com/hjkgrp/molSimplify,FALSE,TRUE,12,300,17,10,https://api.github.com/users/chenruduan,TRUE,
https://github.com/tensorflow/datasets,FALSE,TRUE,22,489,510,65,https://api.github.com/users/rsepassi,TRUE,
https://github.com/onycom-ankus/contributhon2018,FALSE,TRUE,6,175,0,12,https://api.github.com/users/ljs9643,TRUE,Description in Chinese
https://github.com/XiaoMi/mace,FALSE,TRUE,24,2340,3008,533,https://api.github.com/users/nolanliou,TRUE,
https://github.com/onnx/tensorflow-onnx,FALSE,TRUE,14,590,136,47,https://api.github.com/users/guschmue,TRUE,
https://github.com/src-d/hercules,FALSE,TRUE,14,697,229,33,https://api.github.com/users/vmarkovtsev,TRUE,
https://github.com/instacart/lore,FALSE,TRUE,15,247,1319,107,https://api.github.com/users/montanalow,TRUE,
https://github.com/cms-sw/cms-bot,FALSE,TRUE,119,7148,11,137,https://api.github.com/users/smuzaffar,TRUE,
https://github.com/googledatalab/pydatalab,FALSE,TRUE,26,382,146,57,https://api.github.com/users/qimingj,TRUE,
https://github.com/zbigniewwojna/text-rcnn,FALSE,TRUE,221,960,11,4,https://api.github.com/users/nealwu,TRUE,
https://github.com/hughperkins/tf-coriander,FALSE,TRUE,400,7960,691,81,https://api.github.com/users/tensorflower-gardener,TRUE,
https://github.com/dwiel/tensorflow_hmm,FALSE,TRUE,5,103,254,72,https://api.github.com/users/dwiel,TRUE,
