project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,comment,
https://github.com/OpenNMT/OpenNMT-tf,FALSE,TRUE,12,966,623,192,https://api.github.com/users/guillaumekln,TRUE,,
https://github.com/tensorlayer/tensorlayer,FALSE,TRUE,68,1901,4735,1099,https://api.github.com/users/zsdonghao,TRUE,,
https://github.com/kbardool/keras-frcnn,FALSE,TRUE,8,121,35,36,https://api.github.com/users/yhenon,TRUE,,
https://github.com/dmlc/gluon-nlp,FALSE,TRUE,32,369,1305,272,https://api.github.com/users/leezu,TRUE,,
https://github.com/Welthungerhilfe/cgm-ml,FALSE,TRUE,7,179,10,12,https://api.github.com/users/AI-Guru,TRUE,,
https://github.com/paris-saclay-cds/ramp-workflow,FALSE,TRUE,11,234,36,21,https://api.github.com/users/kegl,TRUE,,
https://github.com/tf-coreml/tf-coreml,FALSE,TRUE,17,205,896,118,https://api.github.com/users/slin07,TRUE,,
https://github.com/oarriaga/face_classification,FALSE,TRUE,5,142,3848,1033,https://api.github.com/users/oarriaga,TRUE,,
https://github.com/theislab/dca,FALSE,TRUE,5,352,75,15,https://api.github.com/users/gokceneraslan,TRUE,,
https://github.com/benoitsteiner/tensorflow-xsmm,FALSE,TRUE,367,31567,11,6,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow itself,
https://github.com/floydhub/dockerfiles,FALSE,TRUE,6,349,113,49,https://api.github.com/users/houqp,TRUE,,
https://github.com/kipoi/models,FALSE,TRUE,11,243,55,22,https://api.github.com/users/Avsecz,TRUE,,
https://github.com/suragnair/alpha-zero-general,FALSE,TRUE,16,169,1158,301,https://api.github.com/users/suragnair,TRUE,,
https://github.com/conversationai/conversationai-models,FALSE,TRUE,11,726,62,23,https://api.github.com/users/jjtan,TRUE,Example Code for Conversation AI code,
https://github.com/kendryte/kendryte-tensorflow,FALSE,TRUE,375,38381,17,0,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow itself,
https://github.com/hyperdashio/hyperdash-sdk-py,FALSE,TRUE,5,429,124,13,https://api.github.com/users/richardartoul,TRUE,,
https://github.com/Lab41/pelops,FALSE,TRUE,6,356,44,22,https://api.github.com/users/agude,TRUE,,
https://github.com/deepfakes/faceswap,FALSE,TRUE,50,388,13001,4224,https://api.github.com/users/torzdf,TRUE,Needs Login,
https://github.com/kubeflow/examples,FALSE,TRUE,39,231,385,144,https://api.github.com/users/jlewi,TRUE,Kubeflow examples and tutorials,
https://github.com/rlgraph/rlgraph,FALSE,TRUE,5,3737,71,6,https://api.github.com/users/sven1977,TRUE,,
https://github.com/gt-ros-pkg/hrl-assistive,FALSE,TRUE,12,8981,12,2,https://api.github.com/users/pidipidi,TRUE,No info,
https://github.com/VinF/deer,FALSE,TRUE,6,442,397,103,https://api.github.com/users/VinF,TRUE,,
https://github.com/jantic/DeOldify,FALSE,TRUE,10,114,5181,360,https://api.github.com/users/jantic,TRUE,,
https://github.com/openeventdata/mordecai,FALSE,TRUE,6,218,304,46,https://api.github.com/users/ahalterman,TRUE,,
https://github.com/tensorpack/tensorpack,FALSE,TRUE,39,2558,3684,1133,https://api.github.com/users/ppwwyyxx,TRUE,,
https://github.com/modulabs/DeepNLP,FALSE,TRUE,13,414,20,14,https://api.github.com/users/aiscientist,TRUE,Looks like some course's lab materials,
https://github.com/horovod/horovod,FALSE,TRUE,35,227,5382,745,https://api.github.com/users/alsrgv,TRUE,,
https://github.com/dvbuntu/autonomous,FALSE,TRUE,7,242,48,27,https://api.github.com/users/ricklon,TRUE,,
https://github.com/riga/law,FALSE,TRUE,5,714,24,9,https://api.github.com/users/riga,TRUE,,
https://github.com/Humboldt-DataMining/InformationSystemsWS1718,FALSE,TRUE,13,175,2,13,https://api.github.com/users/romanarion,TRUE,Repository tocollect code for seminars,
https://github.com/NervanaSystems/ngraph-python,FALSE,TRUE,67,4517,219,34,https://api.github.com/users/diyessi,TRUE,,
https://github.com/broadinstitute/keras-resnet,FALSE,TRUE,9,123,164,69,https://api.github.com/users/0x00b1,TRUE,Keras Package for Residual Networks,
https://github.com/nycdatasci/bootcamp007_project,FALSE,TRUE,33,987,15,25,https://api.github.com/users/NickTalavera,TRUE,Bootcamp Student Presentation,
https://github.com/titu1994/Neural-Style-Transfer,FALSE,TRUE,8,289,1370,280,https://api.github.com/users/titu1994,TRUE,Implementation of algorithms for a scientific paper,
https://github.com/analysiscenter/batchflow,FALSE,TRUE,9,2143,97,25,https://api.github.com/users/roman-kh,TRUE,,
https://github.com/twoolf/DaiWareToken,FALSE,TRUE,6,148,10,2,https://api.github.com/users/twoolf,TRUE,,
https://github.com/Microsoft/samples-for-ai,FALSE,TRUE,33,326,409,158,https://api.github.com/users/TobeyQin,TRUE,Samples for starters in DL using Microsoft products,
https://github.com/lisa-lab/DeepLearningTutorials,FALSE,TRUE,45,834,3691,2062,https://api.github.com/users/nouiz,TRUE,Deep Learning Tutorials,
https://github.com/mitaki28/pixcaler,FALSE,TRUE,6,216,14,3,https://api.github.com/users/mitaki28,TRUE,,
https://github.com/cerndb/dist-keras,FALSE,TRUE,5,1102,555,157,https://api.github.com/users/JoeriHermans,TRUE,Distributed Keras,
https://github.com/allenai/deep_qa,FALSE,TRUE,12,928,391,129,https://api.github.com/users/matt-gardner,TRUE,Deprecated, new version rewritten in PyTorch
https://github.com/davidfischer-ch/pytoolbox,FALSE,TRUE,5,1213,21,10,https://api.github.com/users/davidfischer-ch,TRUE,,
https://github.com/TissueMAPS/TissueMAPS,FALSE,TRUE,363,29733,5,14,https://api.github.com/users/hackermd,TRUE,,
https://github.com/sassoftware/python-dlpy,FALSE,TRUE,11,489,88,36,https://api.github.com/users/dlpysas,TRUE,,
https://github.com/GoogleCloudPlatform/cloudml-samples,FALSE,TRUE,47,741,887,526,https://api.github.com/users/gogasca,TRUE,Samples on how to use Cloud ML,
https://github.com/hiddenswitch/Spellsource-Server,FALSE,TRUE,33,4906,47,25,https://api.github.com/users/doctorpangloss,TRUE,,
https://github.com/fastai/courses,FALSE,TRUE,40,164,4803,2796,https://api.github.com/users/racheltho,TRUE,Course Material,
https://github.com/Leinao/LeinaoPAI,FALSE,TRUE,30,232,30,39,https://api.github.com/users/xwzheng1020,TRUE,No description, some instructions in Chinese
https://github.com/VLOGroup/tensorflow-icg,FALSE,TRUE,380,22914,12,4,https://api.github.com/users/tensorflower-gardener,TRUE,Fork from original tensorflow repository,
https://github.com/IntelAI/nauta,FALSE,TRUE,19,957,280,30,https://api.github.com/users/jcchr,TRUE,,
https://github.com/dickreuter/Poker,FALSE,TRUE,5,369,374,124,https://api.github.com/users/dickreuter,TRUE,,
https://github.com/sherpa-ai/sherpa,FALSE,TRUE,5,397,45,8,https://api.github.com/users/LarsHH,TRUE,,
https://github.com/ucloud/uai-sdk,FALSE,TRUE,6,166,19,21,https://api.github.com/users/FinchZHU,TRUE,,
https://github.com/r9y9/wavenet_vocoder,FALSE,TRUE,9,190,836,217,https://api.github.com/users/r9y9,TRUE,,
https://github.com/NervanaSystems/nlp-architect,FALSE,TRUE,23,584,1791,264,https://api.github.com/users/peteriz,TRUE,,
https://github.com/conversationai/unintended-ml-bias-analysis,FALSE,TRUE,8,252,187,56,https://api.github.com/users/lucyvasserman,TRUE,,
https://github.com/hcmlab/nova,FALSE,TRUE,5,943,38,9,https://api.github.com/users/tobiasbaur,TRUE,,
https://github.com/deepgram/kur,FALSE,TRUE,11,576,787,108,https://api.github.com/users/ajsyp,TRUE,,
https://github.com/mdbloice/Augmentor,FALSE,TRUE,18,483,2868,524,https://api.github.com/users/mdbloice,TRUE,,
https://github.com/plaidml/plaidml,FALSE,TRUE,14,674,1893,151,https://api.github.com/users/flaub,TRUE,,
https://github.com/intel-analytics/analytics-zoo,FALSE,TRUE,42,953,381,139,https://api.github.com/users/hkvision,TRUE,,
https://github.com/lablup/backend.ai-kernels,FALSE,TRUE,6,1238,17,5,https://api.github.com/users/hephaex,TRUE,,
https://github.com/pyk/rojak,FALSE,TRUE,18,207,94,48,https://api.github.com/users/pyk,TRUE,Description not in English,
https://github.com/fizyr/keras-retinanet,FALSE,TRUE,42,814,2293,991,https://api.github.com/users/hgaiser,TRUE,,
https://github.com/bcmi/stock-price-prediction,FALSE,TRUE,52,247,3,62,https://api.github.com/users/Yiyi16,TRUE,AI Class Project,
https://github.com/mozilla/bugbug,FALSE,TRUE,17,358,26,27,https://api.github.com/users/marco-c,TRUE,,
https://github.com/atmtools/typhon,FALSE,TRUE,10,1594,14,13,https://api.github.com/users/JohnMrziglod,TRUE,,
https://github.com/NLP-kr/tensorflow-ml-nlp,FALSE,TRUE,5,127,33,10,https://api.github.com/users/Taekyoon,TRUE,Description in Chinese,
https://github.com/allenai/spv2,FALSE,TRUE,7,578,30,6,https://api.github.com/users/dirkgr,TRUE,,
https://github.com/azavea/raster-vision,FALSE,TRUE,14,1546,646,143,https://api.github.com/users/lewfish,TRUE,,
